x1 x2 y 
0.888037 0.453707 0.156042 
-0.0975793 0.157144 0.0343178 
-0.210576 0.968198 0.0304575 
-0.678316 -0.675659 0.87271 
0.790593 -0.496129 0.341182 
0.524775 -0.648466 0.618823 
-0.492967 -0.86102 0.509708 
0.233421 -0.742565 0.183193 
0.676758 0.0494377 0.173321 
-0.427664 -0.179813 0.128377 
-0.425257 0.419137 0.13355 
-0.880722 0.453463 0.218515 
0.178945 -0.786723 0.201807 
0.829707 0.0154771 0.228284 
0.151042 -0.246795 0.0426488 
0.035983 0.578929 0.00835119 
-0.334452 0.501802 0.0733569 
0.610036 -0.739625 0.191998 
0.383517 0.921705 0.0583887 
0.195597 0.696706 0.0370056 
0.70107 0.15534 0.208008 
0.391279 -0.104435 0.208459 
0.889465 -0.456984 0.565613 
0.855837 -0.432897 0.509557 
-0.823695 -0.224386 0.392115 
0.83357 0.138822 0.275632 
0.286823 0.662754 0.0281944 
-0.358003 -0.832183 0.382941 
-0.345471 -0.565068 0.123334 
-0.124747 -0.344994 0.146976 
0.920206 -0.362097 0.464735 
-0.651872 -0.610787 0.678846 
-0.536686 -0.616276 0.347322 
0.455294 -0.647227 0.387614 
-0.320617 -0.122813 0.147432 
0.186595 -0.742155 0.0579007 
0.235434 -0.22787 0.11605 
0.147264 -0.781698 0.155175 
-0.499389 -0.83185 0.0892065 
0.390371 0.426789 0.10451 
-0.873134 0.449051 0.189639 
0.45365 0.826255 0.0744892 
-0.904723 0.233578 0.305169 
0.824177 -0.417161 0.173776 
-0.110451 -0.385808 0.0198258 
0.0018286 0.587682 0.000330231 
0.248341 0.95436 0.0322792 
0.114498 -0.967395 0.0379178 
-0.632826 -0.643939 0.335969 
-0.857518 0.193081 0.0406746 
-0.870232 0.245411 0.265158 
-0.675887 -0.372856 0.320781 
0.724991 -0.271324 0.122735 
0.687636 -0.157938 0.161596 
0.989665 0.0694946 0.354926 
0.842518 0.193016 0.233435 
0.894588 -0.273638 0.318956 
0.734746 -0.440581 0.343978 
0.197426 -0.943788 0.181759 
-0.464866 -0.336168 0.413733 
-0.523072 -0.393082 0.179971 
-0.898629 0.426885 0.220947 
-0.614008 -0.173146 0.36636 
-0.874487 0.436101 0.108019 
0.80985 0.170856 0.21809 
-0.801204 0.518728 0.181021 
0.0785743 -0.569595 0.115153 
-0.252051 0.957992 0.036477 
0.61627 0.594342 0.0739142 
-0.165772 0.545883 0.0202117 
0.872259 0.203191 0.31592 
0.0886481 0.739532 0.0152447 
-0.353257 -0.736098 0.183294 
-0.902868 -0.0291431 0.269838 
0.796396 0.568546 0.134226 
-0.24362 0.569608 0.0455845 
0.282386 -0.106487 0.0688486 
0.783857 -0.214354 0.544594 
0.882414 -0.410707 0.369243 
-0.536363 -0.504389 0.687725 
-0.622976 0.656409 0.110991 
-0.602794 0.0163094 0.105375 
-0.864327 0.161556 0.376089 
0.574486 0.62198 0.108362 
0.455609 -0.89014 0.21042 
0.828141 0.0581796 0.425333 
-0.174418 0.512757 0.037089 
-0.532843 -0.317318 0.383989 
0.514135 0.484877 0.114582 
-0.17063 0.16112 0.0951802 
-0.476606 -0.852029 0.38957 
-0.508012 0.822156 0.0770285 
0.464493 -0.595419 0.684733 
0.725164 -0.676563 0.398389 
0.4681 -0.135978 0.290222 
0.297566 0.657279 0.0395545 
0.812275 0.422682 0.216152 
0.547349 0.790366 0.0496682 
0.29042 -0.491717 0.175562 
-0.659439 0.744366 0.0691121 
